date,location_id,temperature,humidity,wind_speed,rainfall
2024-01-01,1,12.5,41,12.2,0.0
2024-01-01,2,9.3,45,24.6,0.0
2024-01-01,3,13.2,79,24.9,18.3
2024-01-01,4,17.6,67,8.4,7.4
2024-01-01,5,8.8,65,7.8,0.0
2024-01-01,6,8.8,56,20.3,17.0
2024-01-01,7,17.9,42,24.3,18.3
2024-01-01,8,13.8,73,14.5,0.0
2024-01-01,9,7.7,77,16.7,0.0
2024-01-01,10,12.7,54,13.8,0.0
2024-01-02,1,7.7,49,23.8,0.0
2024-01-02,2,7.7,69,11.8,18.1
2024-01-02,3,11.2,53,2.6,0.0
2024-01-02,4,0.4,51,18.9,0.0
2024-01-02,5,1.4,75,22.4,0.0
2024-01-02,6,7.2,77,4.5,0.0
2024-01-02,7,4.9,88,11.2,8.7
2024-01-02,8,11.6,89,16.3,17.3
2024-01-02,9,5.5,49,16.6,0.0
2024-01-02,10,2.9,45,18.5,0.0
2024-01-03,1,17.3,45,10.1,0.0
2024-01-03,2,8.9,60,18.3,0.0
2024-01-03,3,10.3,44,19.6,13.8
2024-01-03,4,2.9,53,19.4,0.0
2024-01-03,5,7.3,81,14.7,0.0
2024-01-03,6,10.6,72,11.7,0.0
2024-01-03,7,4.2,71,13.4,17.5
2024-01-03,8,11.9,76,12.0,0.0
2024-01-03,9,7.0,78,18.0,0.0
2024-01-03,10,8.5,81,15.4,0.0
2024-01-04,1,7.0,46,2.9,0.0
2024-01-04,2,19.3,81,8.1,0.0
2024-01-04,3,9.9,52,11.6,0.0
2024-01-04,4,4.7,85,3.7,0.0
2024-01-04,5,14.1,57,16.0,0.0
2024-01-04,6,3.9,49,9.2,0.0
2024-01-04,7,11.0,43,19.1,0.0
2024-01-04,8,0.2,59,21.2,0.0
2024-01-04,9,3.4,74,19.3,0.0
2024-01-04,10,11.0,65,24.4,0.0
2024-01-05,1,13.7,44,8.7,0.0
2024-01-05,2,10.9,67,8.3,5.6
2024-01-05,3,9.4,42,24.6,0.0
2024-01-05,4,8.5,75,11.9,0.0
2024-01-05,5,2.6,40,18.9,5.0
2024-01-05,6,6.4,56,24.6,0.0
2024-01-05,7,7.7,85,7.1,0.0
2024-01-05,8,15.3,90,13.4,0.0
2024-01-05,9,11.7,76,17.9,0.0
2024-01-05,10,1.2,76,20.2,0.0
2024-01-06,1,11.6,41,8.7,0.0
2024-01-06,2,8.1,43,15.6,0.0
2024-01-06,3,6.6,45,3.8,12.6
2024-01-06,4,13.1,77,7.4,0.0
2024-01-06,5,15.2,70,8.4,0.0
2024-01-06,6,14.7,66,21.8,9.5
2024-01-06,7,5.8,71,13.5,0.0
2024-01-06,8,8.5,46,3.9,0.0
2024-01-06,9,11.7,51,5.2,0.0
2024-01-06,10,14.9,46,16.7,0.0
2024-01-07,1,7.6,70,8.4,0.0
2024-01-07,2,9.1,47,24.4,0.0
2024-01-07,3,4.5,70,7.9,0.0
2024-01-07,4,4.0,78,2.2,0.0
2024-01-07,5,14.1,71,17.5,11.1
2024-01-07,6,16.8,65,24.6,0.0
2024-01-07,7,9.6,44,3.1,0.0
2024-01-07,8,15.0,71,17.9,18.8
2024-01-07,9,11.8,67,16.6,0.0
2024-01-07,10,6.8,55,7.3,0.0
2024-01-08,1,11.8,43,3.1,0.0
2024-01-08,2,17.7,90,8.9,0.0
2024-01-08,3,9.8,86,2.5,0.0
2024-01-08,4,17.8,49,23.3,0.0
2024-01-08,5,-3.1,88,20.1,0.0
2024-01-08,6,14.1,78,9.9,0.0
2024-01-08,7,10.4,85,21.2,0.0
2024-01-08,8,8.5,61,5.2,0.0
2024-01-08,9,10.5,52,7.0,0.0
2024-01-08,10,0.1,47,11.0,0.0
2024-01-09,1,8.9,69,6.3,0.0
2024-01-09,2,11.8,80,7.2,0.0
2024-01-09,3,17.4,44,19.3,0.0
2024-01-09,4,7.4,55,20.3,0.0
2024-01-09,5,6.0,63,14.7,0.0
2024-01-09,6,7.5,88,19.8,0.0
2024-01-09,7,14.6,40,18.0,0.0
2024-01-09,8,11.6,72,12.4,0.0
2024-01-09,9,7.4,83,3.3,0.0
2024-01-09,10,12.6,86,3.3,5.9
